,start_time,end_time,stepper_ang,cmd_speed,direction,result,notes
208,16:20:45.034591,16:20:45.379347,0.0,230,0,pass,This and following 15 trials run together
209,16:20:46.754991,16:20:47.081155,0.0,225,1,pass,
210,16:20:48.461595,16:20:48.797472,0.0,230,0,pass,
211,16:20:50.172535,16:20:50.497859,0.0,225,1,pass,
212,16:20:53.456010,16:20:53.782097,45.0,215,0,pass,
213,16:20:55.160923,16:20:55.481875,45.0,230,1,pass,
214,16:20:56.872376,16:20:57.214124,45.0,215,0,pass,
215,16:20:58.589114,16:20:58.915270,45.0,230,1,pass,
216,16:21:01.888952,16:21:02.237984,-45.0,245,0,pass,
217,16:21:03.615186,16:21:03.946980,-45.0,215,1,pass,
218,16:21:05.337379,16:21:05.664717,-45.0,245,0,pass,
219,16:21:07.034114,16:21:07.364118,-45.0,215,1,pass,
220,16:21:10.335588,16:21:10.664341,-90.0,235,0,pass,
221,16:21:12.054748,16:21:12.396879,-90.0,185,1,pass,
222,16:21:13.771835,16:21:14.082359,-90.0,235,0,pass,
223,16:21:15.457335,16:21:15.797119,-90.0,185,1,pass,
224,16:25:07.642679,16:25:07.981089,0.0,230,0,pass,This and following 15 trials run together
225,16:25:09.368853,16:25:09.682139,0.0,225,1,pass,
226,16:25:11.072644,16:25:11.398604,0.0,230,0,pass,
227,16:25:12.773724,16:25:13.098869,0.0,225,1,pass,
228,16:25:16.069368,16:25:16.414131,45.0,215,0,pass,
229,16:25:17.804539,16:25:18.131225,45.0,230,1,pass,
230,16:25:19.508361,16:25:19.862952,45.0,215,0,pass,
231,16:25:21.222325,16:25:21.548657,45.0,230,1,pass,
232,16:25:24.534162,16:25:24.880583,-45.0,245,0,pass,
233,16:25:26.255280,16:25:26.581534,-45.0,215,1,pass,
234,16:25:27.945059,16:25:28.265432,-45.0,245,0,pass,
235,16:25:29.640079,16:25:29.965256,-45.0,215,1,pass,
236,16:25:32.939949,16:25:33.265017,-90.0,235,0,pass,
237,16:25:34.641089,16:25:34.981003,-90.0,185,1,pass,
238,16:25:36.352308,16:25:36.665579,-90.0,235,0,pass,
239,16:25:38.040274,16:25:38.380418,-90.0,185,1,pass,
240,16:28:23.172495,16:28:23.513247,0.0,230,0,pass,This and following 15 trials run together
241,16:28:24.902409,16:28:25.231318,0.0,225,1,pass,
242,16:28:26.621817,16:28:26.964636,0.0,230,0,pass,
243,16:28:28.355129,16:28:28.682392,0.0,225,1,pass,
244,16:28:31.636984,16:28:31.980794,45.0,215,0,pass,
245,16:28:33.371113,16:28:33.697957,45.0,230,1,pass,
246,16:28:35.075784,16:28:35.414576,45.0,215,0,pass,
247,16:28:36.805004,16:28:37.132477,45.0,230,1,pass,
248,16:28:40.091578,16:28:40.430895,-45.0,245,0,pass,
249,16:28:41.805756,16:28:42.147571,-45.0,215,1,pass,
250,16:28:43.510506,16:28:43.832681,-45.0,245,0,pass,
251,16:28:45.227360,16:28:45.566260,-45.0,215,1,pass,
252,16:28:48.538046,16:28:48.865212,-90.0,235,0,pass,
253,16:28:50.231610,16:28:50.581263,-90.0,185,1,pass,
254,16:28:51.956222,16:28:52.266750,-90.0,235,0,pass,
255,16:28:53.644713,16:28:53.981554,-90.0,185,1,pass,
256,16:57:28.653438,16:57:28.983731,0.0,230,0,pass,This and following 15 trials run together
257,16:57:30.370099,16:57:30.700052,0.0,225,1,pass,
258,16:57:32.074695,16:57:32.399676,0.0,230,0,pass,
259,16:57:33.762096,16:57:34.084257,0.0,225,1,pass,
260,16:57:37.039001,16:57:37.383260,45.0,215,0,pass,
261,16:57:38.744452,16:57:39.061460,45.0,230,1,pass,
262,16:57:40.439691,16:57:40.783452,45.0,215,0,pass,
263,16:57:42.158421,16:57:42.484502,45.0,230,1,pass,
264,16:57:45.442683,16:57:45.782119,-45.0,245,0,pass,
265,16:57:47.158034,16:57:47.498655,-45.0,215,1,pass,
266,16:57:48.889050,16:57:49.216913,-45.0,245,0,pass,
267,16:57:50.577942,16:57:50.915488,-45.0,215,1,pass,
268,16:57:53.874071,16:57:54.201245,-90.0,235,0,pass,
269,16:57:55.576291,16:57:55.917210,-90.0,185,1,pass,
270,16:57:57.295169,16:57:57.617471,-90.0,235,0,pass,
271,16:57:58.999488,16:57:59.345408,-90.0,185,1,pass,
272,17:06:40.054372,17:06:40.384664,0.0,230,0,pass,This and following 15 trials run together
273,17:06:41.772279,17:06:42.085537,0.0,225,1,pass,
274,17:06:43.463330,17:06:43.785622,0.0,230,0,pass,
275,17:06:45.176126,17:06:45.501391,0.0,225,1,pass,
276,17:06:48.485448,17:06:48.817371,45.0,215,0,pass,
277,17:06:50.179595,17:06:50.501830,45.0,230,1,pass,
278,17:06:51.885403,17:06:52.232805,45.0,215,0,pass,
279,17:06:53.623411,17:06:53.951580,45.0,230,1,pass,
280,17:06:56.927706,17:06:57.267444,-45.0,245,0,pass,
281,17:06:58.627039,17:06:58.952276,-45.0,215,1,pass,
282,17:07:00.327044,17:07:00.652415,-45.0,245,0,pass,
283,17:07:02.031386,17:07:02.367202,-45.0,215,1,pass,
284,17:07:05.351474,17:07:05.685111,-90.0,235,0,pass,
285,17:07:07.075521,17:07:07.401798,-90.0,185,1,pass,
286,17:07:08.777126,17:07:09.086743,-90.0,235,0,pass,
287,17:07:10.447589,17:07:10.778872,-90.0,185,1,pass,
288,17:11:18.754624,17:11:19.084945,0.0,230,0,pass,This and following 15 trials run together
289,17:11:20.453467,17:11:20.768891,0.0,225,1,pass,
290,17:11:22.129974,17:11:22.467982,0.0,230,0,pass,
291,17:11:23.843027,17:11:24.169313,0.0,225,1,pass,
292,17:11:27.138074,17:11:27.484738,45.0,215,0,pass,
293,17:11:28.844842,17:11:29.169021,45.0,230,1,pass,
294,17:11:30.543983,17:11:30.884736,45.0,215,0,pass,
295,17:11:32.253169,17:11:32.584200,45.0,230,1,pass,
296,17:11:35.539251,17:11:35.883922,-45.0,245,0,pass,
297,17:11:37.274324,17:11:37.601161,-45.0,215,1,pass,
298,17:11:38.991475,17:11:39.318948,-45.0,245,0,pass,
299,17:11:40.696875,17:11:41.034552,-45.0,215,1,pass,
300,17:11:44.034182,17:11:44.368445,-90.0,235,0,pass,
301,17:11:45.758752,17:11:46.100246,-90.0,185,1,pass,
302,17:11:47.478872,17:11:47.802131,-90.0,235,0,pass,
303,17:11:49.192443,17:11:49.534325,-90.0,185,1,pass,
